Location,Description,Bedrooms,Bathrooms,Living Rooms,Kitchen,Price,Water,Electricity,Garden,Pool
"Muthaiga North, Nairobi, Kenya","This double storey house is set on approximately 0.45 acres. The accommodation on the ground level consists of an entrance hallway leading to a bright living room that opens out to a large patio that is the ideal setting for outdoor living. A separate dining room adjoins a large bright kitchen that has a breakfast area and pantry. The laundry area is spacious and offers room for extra storage. This floor also has a study room, a washroom and an en suite bedroom.

The upper ...read more",4,3,1,?,"ksh 70,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Westlands, Nairobi, Kenya","This spacious 2 bedroom apartment is located in Westlands and fronting Waiyaki way spans on a wondrous architectural detail.

The apartment offers stunning panoramic views of the city’s skyline with a gesture of style. It is a one minute drive to popular shopping centers and recreational facilities.

Some of the features include;

Master bedroom en-suite & 1 bedroom sharing bathroom
2 bedrooms has balconies
Natural light and breeze streaming from the large balconies...read more",2,2,1,?,"ksh 17,500,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","ituated in the prime neighbourhood of Mwitu Estate, the property benefits from its serene and secure location. With a frontage to Mwitu Road and a frontage to Mbagathi River the property is easily accessed and idyllic.

This is a 3 bedroom single storey house set on 6.2 acres of mature garden.

The main house features an entrance lobby, visitor's cloakroom a study and a lounge with 2 fireplaces which opens onto the verandah and garden. The house also comprises a dining ro...read more",3,3,1,?,"ksh 200,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Delightful family home comprising 4 bedrooms + a 3 bedroom guest cottage with a fantastic garden of 1.8 acres replete with mature trees. The property is owned on a residential freehold title.

Main house:
• 3 ensuite bedrooms
• Bright lounge with a fireplace opening onto a verandah
• Dining room
• Kitchen with island and pantry
• Family room
• Office/Study
• Visitor’s cloakroom
• Laundry area

Guest cottage:
• 3 bedrooms (1 ensuite)
• Open ...read more",7,5,1,?,"ksh 165,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Fabulous 4 bedroom house with a 2 bedroom apartment on one acre off Ndege Road in Karen. The house is beautifully built with an excellent layout with plenty of space and light.

Ground floor
• Spacious kitchen with island unit and granite counter tops.
• Open plan living / dining room
• Fireplace in the living room
• All 3 rooms have large sliding doors feeding out onto a covered veranda overlooking the mature garden
• Family room
• Guest cloakroom
• St...read more",6,6,1,?,"ksh 125,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Runda, Nairobi, Kenya","Located in the much sought after Runda Estate, this house benefits from the serenity of the neighborhood as well as its location close to a number of facilities and amenities. These combined features make the house best suited for either a family residence or as an investment. This is a modern double storey house boasting of ample living space and a mature garden. Accommodation is spread over 2 levels. The lower level features an entry hallway, a lounge with fireplace opening...read more",5,9,1,?,"ksh 150,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"South B, Nairobi, Kenya","2 & 3bedroom apartments master en suite - South B, Sore Road

Experience life pleasure

This imposing development features 2 & 3br apartments master en suite. 2 bedroom units have the following features; Lounge with balcony, dining area, fitted kitchen opening to the yard, 2 bedrooms master en suite and a common cloakroom. 3 bedroom units boast of a lounge with balcony, dining area, kitchen opening to the yard, 3 bedrooms master en suite and a common cloakroom.

Extra f...read more",2,1,1,?,"ksh 5,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Lavington, Nairobi, Kenya","Sitting on 1 acre is an exquisite 5 &  7 bedroom standalone house for sale. Very spacious and ideal for a large family, as well as those who love to entertain.

The property is located in a secure estate along Manyani East Road, less than 1 minute away from Waiyaki way and the new Westlands Redhill Road allowing very easy access to Westlands, Thigiri, Gigiri and more upscale neighborhoods.

7 Bedroom Main House

Ground floor:

An entrance foyer with a double-height ce...read more",7,5,1,?,"ksh 100,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Sprawling residential compound of 2.5 acres comprising a main house of 4 bedrooms + 3 bedroom guest house + 2 bedroom guest house + studio / loft style apartment. The properties are all currently rented with a combined rental income of Ksh 500k per month.

The main house has an abundance of rustic charm with a generous open plan layout which works wells for entertaining, it boasts an expansive lawn with mature trees and a natural pool. Each of the other cottages on the comp...read more",10,9,1,?,"ksh 150,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
Kitisuru Kirawa Road,"The Property is currently earning a gross rent of 37,500 and makes for a great investment. It is 10 min from westlands read more",2,2,1,?,"ksh 6,200,000",✅,✅,NO Garden,✅ Swimming Pool
"Loresho, Nairobi, Kenya","Brand New 4 Bedroom Semi-Detached Villa For Sale In Loresho.

This is a cozy four-bedroom semi-detached villa for sale in Loresho. It is one of 12 units measuring 4500 square feet, built within a gated community. Construction was completed in the year 2020. The units are built side by side on 2 rows with each row having 6 units.

Its top-notch finishes are of great quality, and everything is built to last. The front façade of each unit is accentuated by the beautiful nat...read more",4,4,1,?,"ksh 35,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Nairobi, Kenya","Bephat villas is a court of four exquisite 4br all en suite villas with dsq.

Built on ¼ acre each with plinth area of 300 sqm, the villas boast of spacious lounge, separate dining and spacious bedrooms with plenty of wardrobes, mahogany wooden stairs and doors , high quality ceramic tiles in wet areas, Jacuzzi, cubicle showers, well curved gypsum finished ceiling, nobila kitchen, laundry room and a wide verandah.

Amenities include

18 hole golf course,
Shopping mall...read more",4,5,1,?,"ksh 38,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kileleshwa, Nairobi, Kenya","Ambra Heights is a contemporary development in Kileleshwa, Kikambala Road. It comprises of one and two–bedroom luxury apartments for sale with superb amenities.

Own your dream home situated in a convenient, friendly neighborhood with outstanding schools and amenities a few minutes away. Ambra heights is located conveniently close to shopping hubs including Kasuku Center Junction Mall, Lavington Mall, Lavington Curve, Yaya Centre, and Adlife Plaza. Enjoy renowned fine din...read more",1,1,1,?,"ksh 7,600,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Westlands, Nairobi, Kenya","1 & 2 BEDROOM APARTMENTS FOR INVESTMENT- WESTLANDS

LOCATION:

The Apartment Towers are luxurious and located in the heart of Westlands on Westlands Road. It enjoys close proximity to the upcoming Avic’s massive Global Trade Centre (GTC), Kempinski Villa Rosa Hotel, Tulip Restaurant, Embassy of the Republic of Korea and is directly opposite the Standard Chartered Bank Headquarters. Being on Westlands Road, it connects easily to Chiromo Road, Waiyaki Way and Uhuru Highwa...read more",2,,1,?,"ksh 14,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Westlands, Nairobi, Kenya","This spacious 3 bedroom, 2 en-suite apartment for sale is located in a serene neighborhood with close proximity to major shopping malls, restaurants, schools, and recreational centers.

The property is located along Sports Road in Westlands.

Features:

A large & spacious living room
Separate dining area
Kitchen area with generous storage space
Large and airy utility area
Guest washroom
Three Bedrooms (two en-suite)
Master bedroom with walk-in closets, bathtub & s...read more",3,3,1,?,"ksh 24,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Conveniently located off Warai Road in the Miotoni area of Karen is this superb double storey family home of 5,000 sq. ft. The property has 5 bedrooms and sits on half an acre with a vacant half acre plot with lovely mature and indigenous trees. Ideal plot for those looking to build a 2nd property either as a guesthouse or a house for sale. The beauty of this location is the ease with which one can access The Hub, Talisman Restaurant and the Southern Bypass. For all those com...read more",5,5,1,?,"ksh 95,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Lavington, Nairobi, Kenya","Located along Argwings Kodhek Road in the exclusive neighborhood of Bernard Estate behind Valley Arcade shopping center in Lavington, Nairobi. Own your dream home situated in a convenient, friendly neighborhood with outstanding schools and amenities, only ten minutes from shopping hubs including Hurlingham, Junction Mall, Lavington Mall, Lavington Curve, and Yaya Centre. Enjoy renowned fine dining restaurants and lifestyle-oriented activities within your reach.

There are m...read more",1,1,1,?,"ksh 9,700,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Rhapta Road, Westlands, Nairobi","Built in 2006, this serene home is in a tight knit gated community that comprises of twenty-four well maintained 3-bedroom apartment units along Rhapta road in Westlands. The project sits on a whole acre of land and there are only two units on each floor.

Only one of these 24 cozy apartments is up for sale and it does happen to be the best one of them all. The unit was purchased during the construction period since the owners wanted an opportunity to modify their home and ...read more",3,3,1,?,"ksh 22,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Spring Valley, Nairobi, Kenya","This ultra modern lifestyle awaits you.

Ticking all your boxes from its highly regarded location to its nearby malls, schools and security.
Lets take you on a brief tour that will leave you flabbergasted.

The internal part of this townhouse consists of 3 levels.

Ground floor with:

Spacious Living room/lounge that opens up to the terrace.
Terrace- beautifully thought-out and well executed man made turf garden with plants surrounding it.
Separate dinning area (do...read more",5,5,1,?,"ksh 65,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","This is a high quality and well built 5 bedroom double storey townhouse in an established gated community of 6 units each boasting half an acre of manicured and well tended gardens with an abundance of fruit trees. One enters into a formal entrance lobby and thence into a sunken lounge with fireplace and open plan dining room. One is immediately struck by the large full pane windows which provide lovely views of the impeccable gardens.

There is a spacious kitchen with isla...read more",4,5,1,?,"ksh 82,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen Hardy, Nairobi","This remarkable property features a 4 bedroom double storey house dating back to the 1930’s with numerous historic features. There are beautiful Cedar wood floors throughout and some quirky features dating back to when the property served as a dairy.

The jewel is unequivocally the gardens which have been loving maintained by the current owners. The garden has over 250 trees and includes some incredibly rare Euphorbia. Other species of trees and plants found on the plot i...read more",4,4,1,?,"ksh 195,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Lavington, Nairobi, Kenya","Newly built high quality 5 bedroom townhouse set on 3 floors is available for sale in walking distance to Lavington Mall. Tucked away in the quiet neighbourhood of Lavington and conveniently situated close to shopping malls and international schools. The positioning of this property is perfect.

Ground floor comprises
• Open plan dining room to living room with electric fire.
• Beautiful fully fitted closed kitchen with island unit, high and low-level cabinets and gas...read more",5,6,1,?,"ksh 85,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Riverside Drive, Nairobi, Kenya","Located in the heart of Westlands, this 2 bedroom apartment has a spacious living room that underscores the status and graceful lifestyle of Nairobi’s residents.

The units are spacious, unique and executive apartments situated on Riverside Drive with close proximity to all amenities.

The large windows have been designed to allow natural light to brighten the living room.

Features include;

 An open plan kitchen with granite counter-tops
Living room
 Breakfast c...read more",2,2,1,?,"ksh 13,900,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kiambu, Kenya","Windsor Villas is a new development of 4 elegant houses on approximately 2 acres of land located on Mushroom road. On offer are two villas sitting on half an acre in leafy Kiambu popular for it’s sought after views and serene country living. Nearby social amenities include the Ciata Mall, The Paradise Lost, and Windsor Golf Club.

Downstairs:

A spacious lounge with a beautiful terrace overlooking the back garden
A separate dining area.
A modern kitchen with a large p...read more",4,5,1,?,"ksh 69,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Westlands, Nairobi, Kenya","This 380 sqft shop for sale and to let is located within the Westlands CBD, surrounded by Banks (ABC Bank, Guardian Bank, Family Bank, Co-operative Bank, etc) restaurants, clinics, hotels and is only a walking distance from Sarit Centre.

The shop has a glass facade and is already tiled.

Lift
Ample visitor’s parking space
Common washrooms & kitchenette per floor
Backup generator
24-hour security + CCTV surveillance
Borehole + Water tanks
Rent: KES 70,000 all incl...read more",0,1,0,?,"ksh 10,000,000",✅,✅,NO Garden,NO Swimming Pool
"Valley Arcade, Lavington","This penthouse provides large living spaces, catered with high-end finishes, offers many amenities, common spaces and a landscape that has been designed to give a homely lifestyle. This high-end development consists of 36 apartment units and is located along Ole Odume Road in Kilimani. It’s location provides proximity to a number of malls, schools and social amenities.

The lower level of this unit accommodates:

a spacious living room with large windows, giving a natur...read more",4,4,1,?,"ksh 58,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Kileleshwa, Nairobi, Kenya","This modern 3 bedroom apartment development called Savannah Land Apartments, consists of 47 units and is located on the junction of Kangundo road and Tabere Crescent.

The entire apartment is designed to make you a proud and comfortable owner with shower cubicles in all the bathrooms, gypsum tray ceilings and a harmonic blend of ceramic flooring and granite counter-top finishing in the kitchen area.

This iconic residential development consists of two towers — Block A a...read more",3,3,1,?,"ksh 20,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Westlands, Nairobi, Kenya","Taj Prestige comprise of three storey 5BR all en-suite Townhouses set in a prestigious serene environment of Westlands Brookeside in a gated community of 18

With easy access to Nairobi CBD, international schools, world class entertainment spots & shopping malls like The Oval, Sankara Hotel, ABC Place, Sarit Centre among others.

The workmanship is of a very high standard and has very spaciously generous rooms.

Features

Perimeter security wall
Electrical fencing
I...read more",5,5,1,?,"ksh 60,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Westlands, Nairobi, Kenya","It enjoys close proximity to the upcoming Avic’s massive Global Trade Centre (GTC), Kempinski Villa Rosa Hotel, Tulip Restaurant, Embassy of the Republic of Korea and is directly opposite the Standard Chartered Bank Headquarters. Being on Westlands Road, it connects easily to Chiromo Road, Waiyaki Way and Uhuru Highway, thus allowing one to access all areas of Nairobi with ease.

The apartments are designed to provide luxury living in the heart of the hustle and bustle of...read more",2,,1,?,"ksh 11,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Lower Kabete Road, Westlands, Nairobi","This stunning home is a five Bedroom townhouse in a gated community of only 11 units.
This impressive Corner unit house is thoughtful in terms of how well organized and spacious living spaces are.

The location is safe, quiet and affords easy access to all schools, shopping facilities and other amenities in the Westlands area.

The Ground level comprises of a well lit sunken living-room and dining area, overlooking a gorgeous outdoor Garden/Entertainment area.

The kit...read more",5,4,1,?,"ksh 66,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen, Nairobi, Kenya","Deerpark has set a new benchmark in terms of quality and contemporary style living. These houses are truly superb, combining modern open plan living with great finishing throughout the property. The development of 10 units is located in the Miotoni area of Karen providing optimal access to The Hub, the Southern Bypass, Karen Hospital and international schools such as Hillcrest, The Banda and Brookhouse.

Only 2 units remain!

Each unit has a built-up area of 500m2, 5 en-s...read more",5,6,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Exclusive 5 bedroom country homes all en suite measuring 450 sqm. The units lie on 10 acres with each unit occupying on approx. 1/2 an acre. Shared amenities include: Gate house, boundary wall, electric fence, intercom facility, solar water heaters, inverter based power back-up, ICT provision and rain water harvesting. within the development is a club house which offers an entrance lobby with a reception, lounge, veranda with juice
bar and fire place, gym, separate ladies an...read more",5,6,1,?,"ksh 78,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Langata, Nairobi, Kenya","Privacy and tranquillity exemplify this classy 4 bedroom maisonette with a self-contained servants’ quarter. The maisonette boasts of a lounge and dining area with access to the backyard, a semi- open plan and fitted kitchen, separate guest cloak room, in-built wardrobes in all bedrooms, and a master en-suite with a balcony overlooking the backyard. Other features include private landscaped gardens, kids’ play area, an auditorium with kitchenette, a basketball court, swim...read more",4,2,1,?,"ksh 35,000,000",✅,✅,NO Garden,NO Swimming Pool
"Uthiru, Nairobi, Kenya","#HOME
#FORSALE
THREE BEDROOM BUNGALOW #FORSALE 
Sitting on a 50/130 Acre land location Waiyaki way 87 estate
Asking Ksh 14.5M slightly negotiable
AMENITIES;
-50/130 land with borehole that can fetch extra income
-Master ensuit
- Electric fence with CCTV 
- Dinning room available
- Spacious kitchen .read more",3,2,1,?,"ksh 14,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Muthaiga North, Nairobi, Kenya","lassic and Cozy house located in Sought after area of Muthaiga NorthIts available for Sale. Has the following features;
– In a Gated community of Similar Houses. Each Property sits on 0.5 acres
– Lush Garden
– Well lit Living room opening up to a large outdoor patio
– Classic Kitchen with wooden cabinetry and granite top and pantry
– Downstairs Guest Bedroom
– Small Office
– Upstairs bedrooms are not only spacious but come with inbuilt wardrobe space and ...read more",4,4,1,?,"ksh 78,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kileleshwa, Nairobi, Kenya","This very spacious, modern four-bedroom apartment is available for sale off Oloitoktok Road in Kileleshwa.
The building is near the Somalian embassy, Kenton College Preparatory School and the Kilimani children’s clinic. Kileleshwa is a highly sought-after neighborhood due to its proximity to the CBD and for offering luxury spaces at reasonable prices.

Layout:

A metallic grilled gate leading to the entrance porch of the apartment immediately one
sets foot on the elev...read more",4,3,1,?,"ksh 45,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Lavington, Nairobi, Kenya","This townhouse is located along Chalbi Drive in the leafy neighbourhood of Lavington.  This location is characterised by similar developments of villas and standalone houses.

The area is secure, benefits from closeness to social amenities, shopping facilities and schools.

The house comprises of 4 bedrooms, master en-suite with bathtub and glass shower cubicle, two further bedrooms sharing a common cloakroom, sunken lounge, separate dining area, closed-plan kitchen with ...read more",4,4,1,?,"ksh 39,500,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kiambu Road, Kiambu, Kenya","This 3 Bedroom elegant maisonette located in Mushroom Estate is up for sale. The house sits on a quarter acre with beautiful lawn and mature gardens.
The house has a large open kitchen and dinning, a sunken sitting room, all bedrooms are en-suit with walk in wardrobe and a TV room on level two. There is servant quarter for one, a gate house and a garage for two.
The house has a kitchen garden, beautiful lawn with a water fountain and mature trees.
The house has been constr...read more",3,4,2,?,"ksh 60,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Nyari, Nairobi, Kenya","This distinguished house sits on half an acre of land, located in the heart of the old Nyari estate. From its lush greenery surroundings to its modern touch interior, this house speaks volumes.

Strategically located near the new Westlands link bypass road. Minutes from Wayaki way Westlands and Gigiri.

Close to:

ISK school
German school
UN
Canadian embassy
Australian embassy
Interior part of the house:

The spacious living room opening to the foyer, overlooking...read more",4,4,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Muthaiga, Nairobi","Old Muthaiga land and homes for sale
Old Muthaiga 2 acres of land and two homes to let with 10 bedrooms
Features;
Two swimming pool
Mature garden
Very wide compound
Fully furnished homes
Very spacious with modern fitting
Built in wardrobes
Beautiful view
Ample parking
Very secure place
Has a fire placeread more",10,10,2,?,"ksh 500,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Kiambu Road, Kiambu, Kenya","Stunning 3,4 & 5 bedroom maisonettes in a gated community where elegance meets affordability.

This Estate is located off Kiambu road near Kiambu Institute of Science and Technology, two kilometers from Kiambu town, and within minutes of Nairobi’s Muthaiga roundabout.
The estate is in close proximity to schools, hospitals, shopping & entertainment amenities.
It is designed to suit every lifestyle.
Phase one is complete and sold out, phase two with a few remaining units...read more",4,3,1,?,"ksh 21,950,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kileleshwa, Nairobi, Kenya","This Apartment comes with a DSQ and can boast of nicely finishes for both walls and floors. It is located in a serene environment with adequate water supply and adequate security. It is near Kasuku Centre and has easy access to Nairobi’s Central Business Centre and its environs.

Features
>Borehole
>Swimming pool
>Spaciousread more",3,3,1,?,"ksh 15,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Lavington, Nairobi, Kenya","It's is a 5 Bedroom all en suite villas( 8) in the compound, located Lavington off Mugumo drive, Nairobi. Lavington is one of Nairobi's upmarket neighborhoods and sort after addresses. With malls like The Junction, Lavington mall within range and restaurants like the Brew Bistro and the Thai Place Kenya. Your children can school near home in one of Kenya’s most respected schools, the Makini School. and very beautiful environment surrounded by mature trees in Lavington green...read more",5,5,1,?,"ksh 72,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Karen Hardy, Nairobi","Hardy Manor is an exclusive gated residential estate comprising 9 houses each boasting an acre of private and mature gardens. The house is double storey with 5 bedrooms spread over 2 floors. Conveniently located and set back off Ushrika Road in the Hardy suburbs of Nairobi, owners enjoy peaceful and relaxed living, far removed from any traffic. The house has been beautifully designed and feels both modern and traditional. The real jewel is the fabulous one acre garden with am...read more",5,5,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Dennis Pritt Road, Kilimani, Nairobi, Kenya","These tasteful & elegantly designed apartments are well-located near the State House and the Arboretum with easy access to the retail and commercial zones of Nairobi.

In the heart of the city, the site is on a terrain sloping towards the Kirichwa Kubwa river. Surrounding regions are low-lying, in a green setting, and offer unblocked views of the green Arboretum expanse.

The project constitutes of 2 & 3 bedroom apartments, in addition, 12 exclusive penthouses with beauti...read more",4,4,1,?,"ksh 86,320,000",✅,✅,✅ A Garden ,✅ Swimming Pool
RUNDA,"For Sale/to let 5 bedrooms with sq double story House sitting on half an acre in a gated community.
- Well manicured garden
- Full backup generator
- Fitted kitchen
- swimming pool
To let 450k per month,
For sale ksh120m only. https://t.co/46AW5sZ4ugread more",5,5,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Runda, Nairobi, Kenya","Runda royale is an exclusive development in a prestigious location, where many live but only a select few can call home.

It has state of art fittings, superior woodwork designed with a touch of class.

The units boast of spacious living spaces which combine luxury and functionality,

Come live a complet healthy lifestyle packed with fun and excitement, abudant facilities and exceptional leisure choices.

Amenities

Swimmimg pool
Club & state of art Gym
Lush Garde...read more",5,5,1,?,"ksh 35,000,000",✅,✅,NO Garden,NO Swimming Pool
"Westlands, Nairobi, Kenya","This gorgeous development with its high end finishes make this the right lifestyle choice for you. It is located in the heart of Westlands along the prestigious General Mathenge Drive and next to One General Mathenge. This luxurious development comprises of 2, 3, 4 Bedroom Apartments & 4 Bedroom Duplexes. 

Fully fitted kitchen with imported cabinetry
All bedrooms ensuite
Master bedroom with spacious walk -in- closet
Self contained DSQ
Large laundry area
Wrap around ba...read more",4,4,1,?,"ksh 40,700,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Lavington, Nairobi, Kenya","Located along Argwings Kodhek Road in the exclusive neighborhood of Bernard Estate behind Valley Arcade shopping center in Lavington, Nairobi. Own your dream home situated in a convenient, friendly neighborhood with outstanding schools and amenities, only ten minutes from shopping hubs including Hurlingham, Junction Mall, Lavington Mall, Lavington Curve, and Yaya Centre. Enjoy renowned fine dining restaurants and lifestyle-oriented activities within your reach.

There are m...read more",2,2,1,?,"ksh 16,500,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Completed to exacting standards these two 5 bedroom houses are the picture of family living.

Ideally positioned within a small estate of 5 houses each home is considerately allocated to mirror the privacy and serenity of a standalone compound. Located at the end of the estate and down a long driveway dotted with Jacaranda trees the houses, are far removed from any traffic noise.

The houses are double storey with accommodation spread over 2 floors. Each house features a ...read more",5,5,1,?,"ksh 105,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kilimani, Nairobi, Kenya","These apartments are conveniently located along Kindaruma road slightly off the ring road, Kilimani.

This attractive development comprises a range of two bedrooms, three bedrooms, four-bedrooms and penthouse apartments offering the perfect experience for individuals, couples, and families.

Vicinity features include minutes from Hurlingham shopping centre, Yaya Centre, Adlife plaza, Prestige plaza and Nairobi women hospital.

Some of the features include;

Fully equi...read more",3,3,1,?,"ksh 14,650,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Komarock, Nairobi, Kenya","Komarock Heights is a modern development with all the amenities to support the comfort and lifestyle of its residents. Comprising 1272 beautifully designed apartments nestled within Komarock Estate, the development will be implemented in 3 phases. Phase 1 comprises 480 residential apartments with a mix of 2 and 3 bed-roomed apartments in 20 blocks. The mall will provide residents convenient access to supermarkets, banks, restaurants, hospitals and other services.

 

Key ...read more",2,2,1,?,"ksh 5,800,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kilimani, Nairobi, Kenya","Three En-suite Bedrooms, open plan kitchen with smoke extractor, spacious lounge cum dining opening to a balcony. The master bedroom opens to a balcony, enjoys a spacious cloakroom with a bathtub. It has a detached and independent self-contained Domestic Staff Quarter for one. CCTV in common areas, Swimming Pool, Sauna, Fitness Gym, High speed elevators, Solar water heating, Intercom System, Multi-purpose Community Hall, Generator Backup for common area, Provision for Inverte...read more",3,4,1,?,"ksh 26,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Lavington, Nairobi, Kenya","This is a high quality 4 bedroom executive townhouse which is available for sale in Lavington. Upscale and modern designed townhouse set on three levels in a gated community of seven houses with each on quarter of an acre. Tucked away in the quiet neighbourhood of Lavington and conveniently situated close to shopping malls and international schools. The positioning of this property is perfect, it is set back from the road with a nice private corner garden plot, not overlooked...read more",4,5,1,?,"ksh 75,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kilimani, Nairobi, Kenya","FOR SALE:
OFFICE SPACE, KILIMANI.
5,000 SQ.F- ARWINGS KODHEK RD.
This ideal space is  located on the ground floor of an ultra- modern building in the greater Kilimani area.
It is very ideal for various business setups. 
This particular space has an existing long-term term tenant.
FEATURES:
🔥Well ventilated.
🔥Excellent security.
🔥Excellent accesability.
🔥Ample parking space.
KEY DISTANCES:
🔥5 minutes drive from YAYA Center.
🔥5 minutes drive from ...read more",0,1,0,?,"ksh 35,000,000",✅,✅,NO Garden,NO Swimming Pool
"Thindigua, Nairobi, Kenya","The 8-storied Green Zone Ultra Modern luxurious apartments come with a fitted kitchen that comprises a cooker, microwave, oven coupled with solar water, intercom systems, swimming pool, entertainment area, designated parking and round the close security surveillance among other salient features.read more",2,3,1,?,"ksh 12,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Lavington, Nairobi, Kenya","You will instantly love being part of this luxurious and urban development. It is tucked in the heart of Lavington, Just behind junction mall along Kingara road.

The project covers an area of 1.075 acres, building a total construction area of 27670 square meters. It is a modern designed development Composed of A,B,C,D,E five buildings. Each block equipped with 2 high-speed elevators.

Construction height of the layer is 2.95 meters. Basement layers to be the parking lot ...read more",2,,1,?,"ksh 11,000,000",✅,✅,NO Garden,✅ Swimming Pool
"Kitisuru, Nairobi, Kenya","This is a lovely 4 bedroom double storey master en suite on a  0.25 acres of land at Kitisuru, Nairobi. It boasts of a spacious lounge, separate dining, large fitted kitchen, covered parking, perimeter wall and well maintained gardens. Finishes include tiled floors and wooden stairs. The property is under a  free-hold tenure.

Other facilities include:

2 DSQ units ensuite with a kitchenette
2 parking spaces with shed
Ksh. 67 Millionread more",4,4,1,?,"ksh 67,000,000",✅,✅,NO Garden,NO Swimming Pool
"Muthaiga, Nairobi, Kenya","This development overlooks a lush & leafy surrounding neighborhood. It is the ideal property for those who demand the ultimate lifestyle in the leafy suburb of Nairobi’s most prestigious areas. The apartment is a cozy haven, located away from the hustle and bustle of city life, yet within access to everything you need.

The particular apartment is of size 230 sqm and comes with two separate parking slots as opposed to other apartments that have back-to-back parking. It ha...read more",3,3,1,?,"ksh 36,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
"Karen, Nairobi, Kenya","Located on the prestigious Mbagathi Ridge this brand new development of 5 homes each sitting of slightly under an acre boasts superb forested views. The setting and the views are magical. One can hear the gentle trickle of the Mbagathi River which borders the lower boundary of the development.

Description & Accommodation
• 5 bedrooms all with en-suite bathrooms double-story house with much character, hardwood flooring and large airy windows throughout.
• Immaculate e...read more",6,6,1,?,"ksh 120,000,000",✅,✅,✅ A Garden ,NO Swimming Pool
"Kilimani, Nairobi, Kenya","Spacious 4 bedroom duplex apartment for sale off Argwings Kodhek Road. This low rise development has a lovely community feel that is often lost when compared to the larger and newer apartment blocks.

One enters into a good sized open plan living / dining room with 2 sets of double doors feeding a generous terrace with lovely views of trees in all directions.
Galley style kitchen with granite counter tops.
Guest bedroom with en-suite on the ground floor.

First floor co...read more",4,5,1,?,"ksh 34,000,000",✅,✅,✅ A Garden ,✅ Swimming Pool
